"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000367028 (pp) 9606.ENSP00000495556","false","pp","9606.ENSP00000367028 (pp) 9606.ENSP00000495556","0.049","0.0","0.0","0.086","0.0",,"0.0","0.718","0.701"
"pp","9606.ENSP00000364831 (pp) 9606.ENSP00000376432","false","pp","9606.ENSP00000364831 (pp) 9606.ENSP00000376432","0.174","0.0","0.0","0.0","0.0",,"0.0","0.942","0.933"
"pp","9606.ENSP00000364501 (pp) 9606.ENSP00000462309","false","pp","9606.ENSP00000364501 (pp) 9606.ENSP00000462309","0.0","0.054","0.4","0.292","0.0",,"0.0","0.755","0.462"
"pp","9606.ENSP00000370253 (pp) 9606.ENSP00000500582","false","pp","9606.ENSP00000370253 (pp) 9606.ENSP00000500582","0.0","0.0","0.9","0.0","0.0",,"0.0","0.943","0.455"
"pp","9606.ENSP00000370253 (pp) 9606.ENSP00000451828","false","pp","9606.ENSP00000370253 (pp) 9606.ENSP00000451828","0.0","0.0","0.9","0.0","0.0",,"0.0","0.94","0.433"
"pp","9606.ENSP00000370253 (pp) 9606.ENSP00000375892","false","pp","9606.ENSP00000370253 (pp) 9606.ENSP00000375892","0.0","0.0","0.9","0.0","0.0",,"0.0","0.907","0.117"
"pp","9606.ENSP00000414150 (pp) 9606.ENSP00000463533","false","pp","9606.ENSP00000414150 (pp) 9606.ENSP00000463533","0.0","0.0","0.0","0.0","0.0",,"0.0","0.727","0.727"
"pp","9606.ENSP00000362222 (pp) 9606.ENSP00000415416","false","pp","9606.ENSP00000362222 (pp) 9606.ENSP00000415416","0.044","0.0","0.0","0.837","0.0",,"0.0","0.885","0.325"
"pp","9606.ENSP00000361634 (pp) 9606.ENSP00000380921","false","pp","9606.ENSP00000361634 (pp) 9606.ENSP00000380921","0.042","0.0","0.0","0.476","0.0",,"0.0","0.855","0.734"
"pp","9606.ENSP00000361275 (pp) 9606.ENSP00000381958","false","pp","9606.ENSP00000361275 (pp) 9606.ENSP00000381958","0.049","0.0","0.8","0.0","0.0",,"0.0","0.836","0.208"
"pp","9606.ENSP00000361275 (pp) 9606.ENSP00000372023","false","pp","9606.ENSP00000361275 (pp) 9606.ENSP00000372023","0.104","0.0","0.0","0.726","0.0",,"0.0","0.814","0.303"
"pp","9606.ENSP00000361010 (pp) 9606.ENSP00000480535","false","pp","9606.ENSP00000361010 (pp) 9606.ENSP00000480535","0.089","0.0","0.0","0.095","0.0",,"0.0","0.845","0.827"
"pp","9606.ENSP00000385432 (pp) 9606.ENSP00000480332","false","pp","9606.ENSP00000385432 (pp) 9606.ENSP00000480332","0.056","0.0","0.5","0.0","0.0",,"0.0","0.739","0.492"
"pp","9606.ENSP00000359370 (pp) 9606.ENSP00000385432","false","pp","9606.ENSP00000359370 (pp) 9606.ENSP00000385432","0.088","0.0","0.9","0.565","0.0",,"0.0","0.976","0.471"
