"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","HGNC","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","source","Stress","target","TopologicalCoefficient"
"4.318003913894325","3.8458193032786325E-4","0.23158848855653752","0.16666666666666666","4","8","LLGL2","false","3993","13.5","0","4","0","0.9262665796912373","false","0","3993","L2GL2_HUMAN","3082","L2GL2_HUMAN","0.30952380952380953"
"4.760273972602739","0.0026935684224206557","0.21007194244604319","0.0","4","9","GNB4","false","59345","4.25","0","4","0","0.9164383561643835","false","0","59345","GBB4_HUMAN","12182","GBB4_HUMAN","0.2708333333333333"
"3.6819960861056753","0.01093523401696676","0.2715918150411905","0.08333333333333333","9","7","CXCR4","false","7852","14.222222222222221","0","9","0","0.9404000869754294","false","0","7852","CXCR4_HUMAN","58510","CXCR4_HUMAN","0.1277258566978193"
"4.286692759295499","0.0019058947870497535","0.23328007304268433","0.0","3","8","TRAPPC3","false","27095","12.666666666666666","0","3","0","0.9269623831267667","false","0","27095","TPPC3_HUMAN","12062","TPPC3_HUMAN","0.35353535353535354"
"5.0088062622309195","0.0","0.19964836882203557","1.0","2","9","PAICS","false","10606","6.0","0","2","0","0.9109154163948685","false","0","10606","PUR6_HUMAN","0","PUR6_HUMAN","0.6"
"3.7690802348336594","0.00698709081534025","0.26531671858774664","0.047619047619047616","7","7","EIF3I","false","8668","14.428571428571429","0","7","0","0.9384648836703632","false","0","8668","EIF3I_HUMAN","33520","EIF3I_HUMAN","0.1523809523809524"
"4.069471624266145","0.004120104699872655","0.24573214715075742","0.07142857142857142","8","8","NCOA2","false","10499","9.75","0","8","0","0.9317895194607524","false","0","10499","NCOA2_HUMAN","23344","NCOA2_HUMAN","0.15208333333333332"
"4.464774951076321","0.003899673206988447","0.2239754547446855","0.0","3","8","PRKG1","false","5592","8.0","0","3","0","0.9230050010871929","false","0","5592","KGP1_HUMAN","21530","KGP1_HUMAN","0.35"
"3.4608610567514675","0.01820788370357882","0.28894543398360195","0.026143790849673203","18","7","LYN","false","4067","15.166666666666666","0","18","0","0.9453141987388562","false","0","4067","LYN_HUMAN","144558","LYN_HUMAN","0.09084556254367575"
"6.061643835616438","0.0","0.16497175141242937","0.0","1","10","LRRC36","false","55282","2.0","0","1","0","0.8875190258751903","false","0","55282","LRC36_HUMAN","0","LRC36_HUMAN","0.0"
