input	symbol	entrez_id	name	status
ACAT1	SOAT1	6646	sterol O-acyltransferase 1	ok
ACAT1	ACAT1	38	acetyl-CoA acetyltransferase 1	ok
SLC22A17	SLC22A17	51310	solute carrier family 22 member 17	ok
SH3PXD2B	SH3PXD2B	285590	SH3 and PX domains 2B	ok
NGEF	NGEF	25791	neuronal guanine nucleotide exchange factor	ok
ACAA2	ACAA2	10449	acetyl-CoA acyltransferase 2	ok
NKX1-2	NKX1-2	390010	NK1 homeobox 2	ok
AGA	AGA	175	aspartylglucosaminidase	ok
DNMBP	DNMBP	23268	dynamin binding protein	ok
USP18	USP18	11274	ubiquitin specific peptidase 18	ok
NCF4	NCF4	4689	neutrophil cytosolic factor 4	ok
MCOLN2	MCOLN2	255231	mucolipin TRP cation channel 2	ok
VIT	VIT	5212	vitrin	ok
CD2AP	CD2AP	23607	CD2 associated protein	ok
PDGFRA	PDGFRA	5156	platelet derived growth factor receptor alpha	ok
SLC2A14	SLC2A14	144195	solute carrier family 2 member 14	ok
SLC30A6	SLC30A6	55676	solute carrier family 30 member 6	ok
SH3PXD2A	SH3PXD2A	9644	SH3 and PX domains 2A	ok
ASAP2	ASAP2	8853	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	ok
NPHP1	NPHP1	4867	nephrocystin 1	ok
NR6A1	NR6A1	2649	nuclear receptor subfamily 6 group A member 1	ok
RTKN	RTKN	6242	rhotekin	ok
PACSIN1	PACSIN1	29993	protein kinase C and casein kinase substrate in neurons 1	ok
GUK1	GUK1	2987	guanylate kinase 1	ok
NOMO3	NOMO3	408050	NODAL modulator 3	ok
PDGFRB	PDGFRB	5159	platelet derived growth factor receptor beta	ok
ERBB2	ERBB2	2064	erb-b2 receptor tyrosine kinase 2	ok
KCNN1	KCNN1	3780	potassium calcium-activated channel subfamily N member 1	ok
SLC7A6	SLC7A6	9057	solute carrier family 7 member 6	ok
AAGAB	AAGAB	79719	alpha and gamma adaptin binding protein	ok
SLC22A3	SLC22A3	6581	solute carrier family 22 member 3	ok
TGS1	LIN9	286826	lin-9 DREAM MuvB core complex component	ok
TGS1	TGS1	96764	trimethylguanosine synthase 1	ok
LRRFIP1	LRRFIP1	9208	LRR binding FLII interacting protein 1	ok
NUDT1	NUDT1	4521	nudix hydrolase 1	ok
ODF2	ODF1	4956	outer dense fiber of sperm tails 1	ok
ODF2	ODF2	4957	outer dense fiber of sperm tails 2	ok
VAX1	VAX1	11023	ventral anterior homeobox 1	ok
VSX1	VSX1	30813	visual system homeobox 1	ok
MNX1	MNX1	3110	motor neuron and pancreas homeobox 1	ok
PBX1	PBX1	5087	PBX homeobox 1	ok
SIX4	SIX4	51804	SIX homeobox 4	ok
NKX2-2	NKX2-2	4821	NK2 homeobox 2	ok
RHOXF2	RHOXF2	84528	Rhox homeobox family member 2	ok
SIX2	SIX2	10736	SIX homeobox 2	ok
HOXB7	HOXB7	3217	homeobox B7	ok
HOXC8	HOXC8	3224	homeobox C8	ok
HOXC6	HOXC6	3223	homeobox C6	ok
LBX1	LBX1	10660	ladybird homeobox 1	ok
LBX2	LBX2	85474	ladybird homeobox 2	ok
SIX1	SIX1	6495	SIX homeobox 1	ok
HOXA6	HOXA6	3203	homeobox A6	ok
PBX4	PBX4	80714	PBX homeobox 4	ok
HMX2	HMX2	3167	H6 family homeobox 2	ok
HOPX	HOPX	84525	HOP homeobox	ok
PBX3	PBX3	5090	PBX homeobox 3	ok
KCNH7	KCNH7	90134	potassium voltage-gated channel subfamily H member 7	ok
HHEX	HHEX	3087	hematopoietically expressed homeobox	ok
TLX1	TLX1	3195	T cell leukemia homeobox 1	ok
NKX3-1	NKX3-1	4824	NK3 homeobox 1	ok
HOXC5	HOXC5	3222	homeobox C5	ok
HOXD4	HOXD4	3233	homeobox D4	ok
VAX2	VAX2	25806	ventral anterior homeobox 2	ok
HOXD1	HOXD1	3231	homeobox D1	ok
NKX2-8	NKX2-8	26257	NK2 homeobox 8	ok
PDCD1	PDCD1	5133	programmed cell death 1	ok
KCNH2	KCNH2	3757	potassium voltage-gated channel subfamily H member 2	ok
KCNH4	KCNH4	23415	potassium voltage-gated channel subfamily H member 4	ok
KCNH8	KCNH8	131096	potassium voltage-gated channel subfamily H member 8	ok
CD8B	CD8B	926	CD8 subunit beta	ok
NDC1	NDC1	55706	NDC1 transmembrane nucleoporin	ok
PAH	PAH	5053	phenylalanine hydroxylase	ok
TPH2	TDO2	6999	tryptophan 2,3-dioxygenase	ok
TPH2	TPH2	121278	tryptophan hydroxylase 2	ok
TH	TH	7054	tyrosine hydroxylase	ok
GRM5	GRM5	2915	glutamate metabotropic receptor 5	ok
RARG	RARG	5916	retinoic acid receptor gamma	ok
TPH1	TPH1	7166	tryptophan hydroxylase 1	ok
CUTA	CUTA	51596	cutA divalent cation tolerance homolog	ok
CD47	CD47	961	CD47 molecule	ok
ARHGEF2	ARHGEF2	9181	Rho/Rac guanine nucleotide exchange factor 2	ok
GSTM3	GSTM3	2947	glutathione S-transferase mu 3	ok
GSTM4	GSTM4	2948	glutathione S-transferase mu 4	ok
GSTM5	GSTM5	2949	glutathione S-transferase mu 5	ok
COX11	COX11	1353	cytochrome c oxidase copper chaperone COX11	ok
COX11	COX11P1	140468	COX11 pseudogene 1	ok
MPZL1	MPZL1	9019	myelin protein zero like 1	ok
SLC7A7	SLC7A7	9056	solute carrier family 7 member 7	ok
TXNDC12	TXNDC12	51060	thioredoxin domain containing 12	ok
CLCN2	CLCN2	1181	chloride voltage-gated channel 2	ok
FLT4	FLT4	2324	fms related receptor tyrosine kinase 4	ok
IRAK4	IRAK4	51135	interleukin 1 receptor associated kinase 4	ok
KCNMB4	KCNMB4	27345	potassium calcium-activated channel subfamily M regulatory beta subunit 4	ok
TYK2	TYK2	7297	tyrosine kinase 2	ok
LIMK2	LIMK2	3985	LIM domain kinase 2	ok
NEDD9	NEDD9	4739	neural precursor cell expressed, developmentally down-regulated 9	ok
