input	symbol	entrez_id	name	status
COL6A2	COL6A2	1292	collagen type VI alpha 2 chain	ok
PUF60	PUF60	22827	poly(U) binding splicing factor 60	ok
DDR2	DDR2	4921	discoidin domain receptor tyrosine kinase 2	ok
PTX4	PTX4	390667	pentraxin 4	ok
PLCL1	PLCL1	5334	phospholipase C like 1 (inactive)	ok
IL7R	IL7R	3575	interleukin 7 receptor	ok
PTK7	PTK7	5754	protein tyrosine kinase 7 (inactive)	ok
IGF1R	IGF1R	3480	insulin like growth factor 1 receptor	ok
PTK2	PTK2	5747	protein tyrosine kinase 2	ok
IL4R	IL4R	3566	interleukin 4 receptor	ok
PF4	PF4	5196	platelet factor 4	ok
PAN3	NLRP6	171389	NLR family pyrin domain containing 6	ok
PAN3	PAN3	255967	poly(A) specific ribonuclease subunit PAN3	ok
EPHA3	EPHA3	2042	EPH receptor A3	ok
EPHA2	EPHA2	1969	EPH receptor A2	ok
CXCL1	CXCL1	2919	C-X-C motif chemokine ligand 1	ok
PARP4	PARP4	143	poly(ADP-ribose) polymerase family member 4	ok
SORBS3	SORBS3	10174	sorbin and SH3 domain containing 3	ok
TIMD4	TIMD4	91937	T cell immunoglobulin and mucin domain containing 4	ok
EDA	EDA	1896	ectodysplasin A	ok
DCK	DCK	1633	deoxycytidine kinase	ok
MRPL46	MRPL46	26589	mitochondrial ribosomal protein L46	ok
CCND3	CCND3	896	cyclin D3	ok
MUSK	MUSK	4593	muscle associated receptor tyrosine kinase	ok
MTFMT	MTFMT	123263	mitochondrial methionyl-tRNA formyltransferase	ok
COCH	COCH	1690	cochlin	ok
XK	XK	7504	X-linked Kx blood group antigen, Kell and VPS13A binding protein	ok
COL22A1	COL22A1	169044	collagen type XXII alpha 1 chain	ok
LARP1B	LARP1B	55132	La ribonucleoprotein 1B	ok
LMTK3	LMTK3	114783	lemur tyrosine kinase 3	ok
LMTK2	LMTK2	22853	lemur tyrosine kinase 2	ok
ABI2	ABI2	10152	abl interactor 2	ok
CASKIN2	CASKIN2	57513	CASK interacting protein 2	ok
MAP3K7	MAP3K7	6885	mitogen-activated protein kinase kinase kinase 7	ok
COL21A1	COL21A1	81578	collagen type XXI alpha 1 chain	ok
CYP8B1	CYP8B1	1582	cytochrome P450 family 8 subfamily B member 1	ok
PRKCE	PRKCE	5581	protein kinase C epsilon	ok
PPARA	PPARA	5465	peroxisome proliferator activated receptor alpha	ok
GTF2H3	GTF2H3	2967	general transcription factor IIH subunit 3	ok
RPS6KB2	RPS6KB2	6199	ribosomal protein S6 kinase B2	ok
RSPO3	RSPO3	84870	R-spondin 3	ok
MEPCE	MEPCE	56257	methylphosphate capping enzyme	ok
SAMSN1	SAMSN1	64092	SAM domain, SH3 domain and nuclear localization signals 1	ok
RTKN2	RTKN2	219790	rhotekin 2	ok
PNKD	PNKD	25953	PNKD metallo-beta-lactamase domain containing	ok
TXNL4B	TXNL4B	54957	thioredoxin like 4B	ok
LTK	LTK	4058	leukocyte receptor tyrosine kinase	ok
FES	FES	2242	FES proto-oncogene, tyrosine kinase	ok
TYRO3	TYRO3	7301	TYRO3 protein tyrosine kinase	ok
PRKCH	PRKCH	5583	protein kinase C eta	ok
MYH2	MYH2	4620	myosin heavy chain 2	ok
ACVR1C	ACVR1C	130399	activin A receptor type 1C	ok
CTTN	CTTN	2017	cortactin	ok
PPBP	PPBP	5473	pro-platelet basic protein	ok
RDM1	RDM1	201299	RAD52 motif containing 1	ok
ITIH5	ITIH5	80760	inter-alpha-trypsin inhibitor heavy chain 5	ok
CXCL6	CXCL6	6372	C-X-C motif chemokine ligand 6	ok
TAF6L	TAF6L	10629	TATA-box binding protein associated factor 6 like	ok
STARD4	STARD4	134429	StAR related lipid transfer domain containing 4	ok
PAPPA2	PAPPA2	60676	pappalysin 2	ok
PARD6B	PARD6B	84612	par-6 family cell polarity regulator beta	ok
DGKH	DGKH	160851	diacylglycerol kinase eta	ok
INSRR	INSRR	3645	insulin receptor related receptor	ok
INSR	INSR	3643	insulin receptor	ok
AMT	AMT	275	aminomethyltransferase	ok
TNK1	TNK1	8711	tyrosine kinase non receptor 1	ok
PARD6G	PARD6G	84552	par-6 family cell polarity regulator gamma	ok
RAP1GDS1	RAP1GDS1	5910	Rap1 GTPase-GDP dissociation stimulator 1	ok
CHEK2	CHEK2	11200	checkpoint kinase 2	ok
ITIH3	ITIH3	3699	inter-alpha-trypsin inhibitor heavy chain 3	ok
SNX9	SNX9	51429	sorting nexin 9	ok
VWA5B1	VWA5B1	127731	von Willebrand factor A domain containing 5B1	ok
COL12A1	COL12A1	1303	collagen type XII alpha 1 chain	ok
ACOT11	ACOT11	26027	acyl-CoA thioesterase 11	ok
COL14A1	COL14A1	7373	collagen type XIV alpha 1 chain	ok
STARD5	STARD5	80765	StAR related lipid transfer domain containing 5	ok
C1orf43	LTAP1	25912	lipid transport auxiliary protein 1	ok
C1QL3	C1QL3	389941	complement C1q like 3	ok
NPTX2	NPTX2	4885	neuronal pentraxin 2	ok
MCOLN1	MCOLN1	57192	mucolipin TRP cation channel 1	ok
SCRN3	SCRN3	79634	secernin 3	ok
NPR2	NPRL2	10641	NPR2 like, GATOR1 complex subunit	ok
NPR2	NPR2	4882	natriuretic peptide receptor 2	ok
CASKIN1	CASKIN1	57524	CASK interacting protein 1	ok
CXCL5	CXCL5	6374	C-X-C motif chemokine ligand 5	ok
MPZL2	MPZL2	10205	myelin protein zero like 2	ok
SH2D1B	SH2D1B	117157	SH2 domain containing 1B	ok
CXCL3	CXCL3	2921	C-X-C motif chemokine ligand 3	ok
PCTP	PCTP	58488	phosphatidylcholine transfer protein	ok
STK36	STK36	27148	serine/threonine kinase 36	ok
C11orf97	C11orf97	643037	chromosome 11 open reading frame 97	ok
ULK2	ULK2	9706	unc-51 like autophagy activating kinase 2	ok
NTRK1	NTRK1	4914	neurotrophic receptor tyrosine kinase 1	ok
STARD7	STARD7	56910	StAR related lipid transfer domain containing 7	ok
CXCL2	CXCL2	2920	C-X-C motif chemokine ligand 2	ok
MR1	MR1	3140	major histocompatibility complex, class I-related	ok
MR1	PNKD	25953	PNKD metallo-beta-lactamase domain containing	ok
VCAM1	VCAM1	7412	vascular cell adhesion molecule 1	ok
ACYP1	ACYP1	97	acylphosphatase 1	ok
EGFR	EGFR	1956	epidermal growth factor receptor	ok
TREML1	TREML1	340205	triggering receptor expressed on myeloid cells like 1	ok
TNNI3	TNNI3	7137	troponin I3, cardiac type	ok
PARS2	PARS2	25973	prolyl-tRNA synthetase 2, mitochondrial	ok
SCN1B	SCN1B	6324	sodium voltage-gated channel beta subunit 1	ok
GJA1	GJA1	2697	gap junction protein alpha 1	ok
KDR	KDR	3791	kinase insert domain receptor	ok
NOSTRIN	NOSTRIN	115677	nitric oxide synthase trafficking	ok
LRRC69	LRRC69	100130742	leucine rich repeat containing 69	ok
TMEM53	TMEM53	79639	transmembrane protein 53	ok
KCNJ2	KCNJ2	3759	potassium inwardly rectifying channel subfamily J member 2	ok
KCNQ1	KCNQ1	3784	potassium voltage-gated channel subfamily Q member 1	ok
LARP4	LARP4	113251	La ribonucleoprotein 4	ok
DGKA	DGKA	1606	diacylglycerol kinase alpha	ok
SLC52A3	SLC52A3	113278	solute carrier family 52 member 3	ok
GPX4	GPX4	2879	glutathione peroxidase 4	ok
FAHD2A	FAHD2A	51011	fumarylacetoacetate hydrolase domain containing 2A	ok
GPX3	GPX3	2878	glutathione peroxidase 3	ok
GPX7	GPX7	2882	glutathione peroxidase 7	ok
APOL2	APOL2	23780	apolipoprotein L2	ok
REXO1	REXO1	57455	RNA exonuclease 1 homolog	ok
HAPLN1	HAPLN1	1404	hyaluronan and proteoglycan link protein 1	ok
SPG21	SPG21	51324	SPG21 abhydrolase domain containing, maspardin	ok
NISCH	NISCH	11188	nischarin	ok
NTRK3	NTRK3	4916	neurotrophic receptor tyrosine kinase 3	ok
KCNQ2	KCNQ2	3785	potassium voltage-gated channel subfamily Q member 2	ok
DPY19L2	DPY19L2	283417	dpy-19 like 2	ok
GCLC	GCLC	2729	glutamate-cysteine ligase catalytic subunit	ok
HLA-E	HLA-E	3133	major histocompatibility complex, class I, E	ok
HLA-C	HLA-C	3107	major histocompatibility complex, class I, C	ok
HLA-B	HLA-B	3106	major histocompatibility complex, class I, B	ok
HLA-A	HLA-A	3105	major histocompatibility complex, class I, A	ok
HLA-F	HLA-F	3134	major histocompatibility complex, class I, F	ok
PRPH2	PRPH2	5961	peripherin 2	ok
CYP26A1	CYP26A1	1592	cytochrome P450 family 26 subfamily A member 1	ok
CYP4F3	CYP4F3	4051	cytochrome P450 family 4 subfamily F member 3	ok
SLCO2B1	SLCO2B1	11309	solute carrier organic anion transporter family member 2B1	ok
BCAR1	BCAR1	9564	BCAR1 scaffold protein, Cas family member	ok
PLEKHB2	PLEKHB2	55041	pleckstrin homology domain containing B2	ok
PLEKHG6	PLEKHG6	55200	pleckstrin homology and RhoGEF domain containing G6	ok
HES6	HES6	55502	hes family bHLH transcription factor 6	ok
MST1R	MST1R	4486	macrophage stimulating 1 receptor	ok
BAIAP2	BAIAP2	10458	BAR/IMD domain containing adaptor protein 2	ok
ZNF419	ZNF419	79744	zinc finger protein 419	ok
CYP4F22	CYP4F22	126410	cytochrome P450 family 4 subfamily F member 22	ok
MAST2	MAST2	23139	microtubule associated serine/threonine kinase 2	ok
PRDX1	PRDX1	5052	peroxiredoxin 1	ok
CA6	CA6	765	carbonic anhydrase 6	ok
CLCA4	CLCA4	22802	chloride channel accessory 4	ok
CA7	CA7	766	carbonic anhydrase 7	ok
VEGFA	VEGFA	7422	vascular endothelial growth factor A	ok
CYP39A1	CYP39A1	51302	cytochrome P450 family 39 subfamily A member 1	ok
SLC5A6	SLC5A6	8884	solute carrier family 5 member 6	ok
VWA3B	VWA3B	200403	von Willebrand factor A domain containing 3B	ok
TLK2	TLK2	11011	tousled like kinase 2	ok
HCK	HCK	3055	HCK proto-oncogene, Src family tyrosine kinase	ok
RUSC1	RUSC1	23623	RUN and SH3 domain containing 1	ok
FRMPD2	FRMPD2	143162	FERM and PDZ domain containing 2	ok
FRMPD2	FRMPD2B	728798	FERM and PDZ domain containing 2B (pseudogene)	ok
CRYBB1	CRYBB1	1414	crystallin beta B1	ok
EPHB4	EPHB4	2050	EPH receptor B4	ok
CA11	GKN1	56287	gastrokine 1	ok
CA11	CA11	770	carbonic anhydrase 11 (inactive)	ok
POLE3	POLE3	54107	DNA polymerase epsilon 3, accessory subunit	ok
HAPLN4	HAPLN4	404037	hyaluronan and proteoglycan link protein 4	ok
PILRB	PILRB	29990	paired immunoglobin like type 2 receptor beta	ok
PILRB	STAG3L5P-PVRIG2P-PILRB	101752399	STAG3L5P-PVRIG2P-PILRB readthrough	ok
SLC26A7	SLC26A7	115111	solute carrier family 26 member 7	ok
EPHA6	EPHA6	285220	EPH receptor A6	ok
CRYBB3	CRYBB3	1417	crystallin beta B3	ok
REM2	REM2	161253	RRAD and GEM like GTPase 2	ok
FER	FER	2241	FER tyrosine kinase	ok
AFAP1L1	AFAP1L1	134265	actin filament associated protein 1 like 1	ok
EPHA5	EPHA5	2044	EPH receptor A5	ok
CABLES1	CABLES1	91768	Cdk5 and Abl enzyme substrate 1	ok
UGT3A2	UGT3A2	167127	UDP glycosyltransferase family 3 member A2	ok
COL6A1	COL6A1	1291	collagen type VI alpha 1 chain	ok
PIK3R4	PIK3R4	30849	phosphoinositide-3-kinase regulatory subunit 4	ok
APBA3	APBA3	9546	amyloid beta precursor protein binding family A member 3	ok
N4BP2L2	N4BP2L2	10443	NEDD4 binding protein 2 like 2	ok
ACYP2	ACYP2	98	acylphosphatase 2	ok
MOG	MOG	4340	myelin oligodendrocyte glycoprotein	ok
VSTM2B	VSTM2B	342865	V-set and transmembrane domain containing 2B	ok
NT5DC2	NT5DC2	64943	5'-nucleotidase domain containing 2	ok
UGT2A1	UGT2A1	10941	UDP glucuronosyltransferase family 2 member A1 complex locus	ok
PROZ	PROZ	8858	protein Z, vitamin K dependent plasma glycoprotein	ok
STK31	STK31	56164	serine/threonine kinase 31	ok
CACNB2	CACNB2	783	calcium voltage-gated channel auxiliary subunit beta 2	ok
TAF9B	TAF9B	51616	TATA-box binding protein associated factor 9b	ok
PKDCC	PKDCC	91461	protein kinase domain containing, cytoplasmic	ok
TGFBR1	TGFBR1	7046	transforming growth factor beta receptor 1	ok
VKORC1L1	VKORC1L1	154807	vitamin K epoxide reductase complex subunit 1L1	ok
DRAP1	DRAP1	10589	DR1 associated protein 1	ok
RERGL	RERGL	79785	RERG like	ok
CSNK2A2	CSNK2A2	1459	casein kinase 2 alpha 2	ok
SHANK2	SHANK2	22941	SH3 and multiple ankyrin repeat domains 2	ok
AMHR2	AMHR2	269	anti-Mullerian hormone receptor type 2	ok
TAF12	TAF12	6883	TATA-box binding protein associated factor 12	ok
DPM2	DPM2	8818	dolichyl-phosphate mannosyltransferase subunit 2, regulatory	ok
SORBS2	SORBS2	8470	sorbin and SH3 domain containing 2	ok
STRADA	STRADA	92335	STE20 related adaptor alpha	ok
JUP	JUP	3728	junction plakoglobin	ok
ARHGAP35	ARHGAP35	2909	Rho GTPase activating protein 35	ok
AURKC	AURKC	6795	aurora kinase C	ok
UGT3A1	UGT3A1	133688	UDP glycosyltransferase family 3 member A1	ok
CENPW	CENPW	387103	centromere protein W	ok
STAR	CD163L1	283316	CD163 molecule like 1	ok
STAR	GUCY2C	2984	guanylate cyclase 2C	ok
STAR	STAR	6770	steroidogenic acute regulatory protein	ok
RPS6KA3	RPS6KA3	6197	ribosomal protein S6 kinase A3	ok
L3HYPDH	L3HYPDH	112849	trans-L-3-hydroxyproline dehydratase	ok
RHOBTB3	RHOBTB3	22836	Rho related BTB domain containing 3	ok
KSR2	CNKSR2	22866	connector enhancer of kinase suppressor of Ras 2	ok
KSR2	KSR2	283455	kinase suppressor of ras 2	ok
THRB	THRB	7068	thyroid hormone receptor beta	ok
DNAJB6	DNAJB6	10049	DnaJ heat shock protein family (Hsp40) member B6	ok
MAST1	CLASP1	23332	cytoplasmic linker associated protein 1	ok
MAST1	MAST1	22983	microtubule associated serine/threonine kinase 1	ok
MAPK10	MAPK10	5602	mitogen-activated protein kinase 10	ok
CDK16	CDK16	5127	cyclin dependent kinase 16	ok
DCX	DCX	1641	doublecortin	ok
ZNF70	ZNF70	7621	zinc finger protein 70	ok
DYNC2LI1	DYNC2LI1	51626	dynein cytoplasmic 2 light intermediate chain 1	ok
BMPR1A	BMPR1A	657	bone morphogenetic protein receptor type 1A	ok
AP3S2	AP3S2	10239	adaptor related protein complex 3 subunit sigma 2	ok
PLK4	PLK4	10733	polo like kinase 4	ok
BMX	BMX	660	BMX non-receptor tyrosine kinase	ok
ETHE1	ETHE1	23474	ETHE1 persulfide dioxygenase	ok
CARS2	CARS2	79587	cysteinyl-tRNA synthetase 2, mitochondrial	ok
CA3	CA3	761	carbonic anhydrase 3	ok
PSMD1	PSMD1	5707	proteasome 26S subunit, non-ATPase 1	ok
PSMD1	RNU1-93P	106480180	RNA, U1 small nuclear 93, pseudogene	ok
PLK3	PLK3	1263	polo like kinase 3	ok
CLCN4	CLCN4	1183	chloride voltage-gated channel 4	ok
RPL17	RPL17-C18orf32	100526842	RPL17-C18orf32 readthrough	ok
RPL17	RPL23	9349	ribosomal protein L23	ok
RPL17	RPL17	6139	ribosomal protein L17	ok
SMIM5	SMIM5	643008	small integral membrane protein 5	ok
CAPNS1	CAPNS1	826	calpain small subunit 1	ok
HOGA1	HOGA1	112817	4-hydroxy-2-oxoglutarate aldolase 1	ok
BCAN	BCAN	63827	brevican	ok
POU3F3	POU3F3	5455	POU class 3 homeobox 3	ok
PPP1R21	PPP1R21	129285	protein phosphatase 1 regulatory subunit 21	ok
CD8A	CD8A	925	CD8 subunit alpha	ok
PAQR5	PAQR5	54852	progestin and adipoQ receptor family member 5	ok
ABL1	ABL1	25	ABL proto-oncogene 1, non-receptor tyrosine kinase	ok
KCNJ5	KCNJ5	3762	potassium inwardly rectifying channel subfamily J member 5	ok
PABPC1	PABPC1	26986	poly(A) binding protein cytoplasmic 1	ok
SNRPB2	SNRPB2	6629	small nuclear ribonucleoprotein polypeptide B2	ok
IGFBP3	IGFBP3	3486	insulin like growth factor binding protein 3	ok
HSPBAP1	HSPBAP1	79663	HSPB1 associated protein 1	ok
ASNS	ASNS	440	asparagine synthetase (glutamine-hydrolyzing)	ok
DGKB	DGKB	1607	diacylglycerol kinase beta	ok
SPPL2A	SPPL2A	84888	signal peptide peptidase like 2A	ok
RNF141	RNF141	50862	ring finger protein 141	ok
FGFR1	FGFR1	2260	fibroblast growth factor receptor 1	ok
SRRT	SRRT	51593	serrate, RNA effector molecule	ok
PAM	MYCBP2	23077	MYC binding protein 2	ok
PAM	PAM	5066	peptidylglycine alpha-amidating monooxygenase	ok
ARSB	SLURP1	57152	secreted LY6/PLAUR domain containing 1	ok
ARSB	ANKRD44	91526	ankyrin repeat domain 44	ok
ARSB	ARSB	411	arylsulfatase B	ok
TK2	TK1	7083	thymidine kinase 1	ok
TK2	TK2	7084	thymidine kinase 2	ok
RBX1	RBX1	9978	ring-box 1	ok
GGH	GGH	8836	gamma-glutamyl hydrolase	ok
GRPEL1	GRPEL1	80273	GrpE like 1, mitochondrial	ok
MRPL3	MRPL3	11222	mitochondrial ribosomal protein L3	ok
POP5	POP5	51367	POP5 ribonuclease P/MRP subunit	ok
FBXO38	FBXO38	81545	F-box protein 38	ok
PDP1	PLPP6	403313	phospholipid phosphatase 6	ok
PDP1	PDP1	54704	pyruvate dehydrogenase phosphatase catalytic subunit 1	ok
PABPC5	PABPC5	140886	poly(A) binding protein cytoplasmic 5	ok
PHYHIP	PHYHIP	9796	phytanoyl-CoA 2-hydroxylase interacting protein	ok
GADD45A	GADD45A	1647	growth arrest and DNA damage inducible alpha	ok
RBMX	RBMX	27316	RNA binding motif protein X-linked	ok
DGUOK	DGUOK	1716	deoxyguanosine kinase	ok
TREM2	TREM2	54209	triggering receptor expressed on myeloid cells 2	ok
SLC12A4	SLC12A4	6560	solute carrier family 12 member 4	ok
NPPA	NPPA	4878	natriuretic peptide A	ok
CIRBP	CIRBP	1153	cold inducible RNA binding protein	ok
POLDIP3	POLDIP3	84271	DNA polymerase delta interacting protein 3	ok
SLC16A10	SLC16A10	117247	solute carrier family 16 member 10	ok
RBBP6	RBBP6	5930	RB binding protein 6, ubiquitin ligase	ok
SCN7A	SCN7A	6332	sodium voltage-gated channel alpha subunit 7	ok
CYB561D2	CYB561D2	11068	cytochrome b561 family member D2	ok
BANP	BANP	54971	BTG3 associated nuclear protein	ok
TGM2	TGM2	7052	transglutaminase 2	ok
SLC2A2	SLC2A2	6514	solute carrier family 2 member 2	ok
DPP8	DPP8	54878	dipeptidyl peptidase 8	ok
GPX8	GPX8	493869	glutathione peroxidase 8 (putative)	ok
EIF3G	EIF3G	8666	eukaryotic translation initiation factor 3 subunit G	ok
GRSF1	GRSF1	2926	G-rich RNA sequence binding factor 1	ok
FAXDC2	FAXDC2	10826	fatty acid hydroxylase domain containing 2	ok
ANAPC11	ANAPC11	51529	anaphase promoting complex subunit 11	ok
KIT	KIT	3815	KIT proto-oncogene, receptor tyrosine kinase	ok
SLC16A5	SLC16A5	9121	solute carrier family 16 member 5	ok
TNNC2	TNNC2	7125	troponin C2, fast skeletal type	ok
PIK3C2B	PIK3C2B	5287	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta	ok
RBM3	RBM3	5935	RNA binding motif protein 3	ok
SPPL2B	SPPL2B	56928	signal peptide peptidase like 2B	ok
SNRPA	SNRPA	6626	small nuclear ribonucleoprotein polypeptide A	ok
ANPEP	ANPEP	290	alanyl aminopeptidase, membrane	ok
RBM11	RBM11	54033	RNA binding motif protein 11	ok
SLC16A1	SLC16A1	6566	solute carrier family 16 member 1	ok
HNRNPM	HNRNPM	4670	heterogeneous nuclear ribonucleoprotein M	ok
RSU1	RSU1	6251	Ras suppressor protein 1	ok
SLC22A2	SLC22A2	6582	solute carrier family 22 member 2	ok
SCN3B	SCN3B	55800	sodium voltage-gated channel beta subunit 3	ok
OR6K3	OR6K3	391114	olfactory receptor family 6 subfamily K member 3	ok
RASL12	RASL12	51285	RAS like family 12	ok
CDK4	CDK4	1019	cyclin dependent kinase 4	ok
RASL10B	RASL10B	91608	RAS like family 10 member B	ok
CYP2U1	CYP2U1	113612	cytochrome P450 family 2 subfamily U member 1	ok
RAB5C	RAB5C	5878	RAB5C, member RAS oncogene family	ok
CDK13	CDK13	8621	cyclin dependent kinase 13	ok
RAB6A	RAB6A	5870	RAB6A, member RAS oncogene family	ok
ITGB3BP	ITGB3BP	23421	integrin subunit beta 3 binding protein	ok
CDK14	CDK14	5218	cyclin dependent kinase 14	ok
RASL10A	RASL10A	10633	RAS like family 10 member A	ok
SETD7	SETD7	80854	SET domain containing 7, histone lysine methyltransferase	ok
AURKB	AURKB	9212	aurora kinase B	ok
AURKA	AURKA	6790	aurora kinase A	ok
RABL6	RABL6	55684	RAB, member RAS oncogene family like 6	ok
CYP4X1	CYP4X1	260293	cytochrome P450 family 4 subfamily X member 1	ok
ITGA4	ITGA4	3676	integrin subunit alpha 4	ok
PLK2	PLK2	10769	polo like kinase 2	ok
CLEC18A	CLEC18A	348174	C-type lectin domain family 18 member A	ok
CD70	CD70	970	CD70 molecule	ok
BMPR2	BMPR2	659	bone morphogenetic protein receptor type 2	ok
CDK5	CDK5	1020	cyclin dependent kinase 5	ok
LATS1	LATS1	9113	large tumor suppressor kinase 1	ok
LATS2	LATS2	26524	large tumor suppressor kinase 2	ok
RAPGEF5	RAPGEF5	9771	Rap guanine nucleotide exchange factor 5	ok
SP4	SP4	6671	Sp4 transcription factor	ok
CA1	CA1	759	carbonic anhydrase 1	ok
SPATA17	SPATA17	128153	spermatogenesis associated 17	ok
RAB11A	RAB11A	8766	RAB11A, member RAS oncogene family	ok
SNTA1	SNTA1	6640	syntrophin alpha 1	ok
PSKH1	PSKH1	5681	protein serine kinase H1	ok
RAB11B	RAB43	339122	RAB43, member RAS oncogene family	ok
RAB11B	RAB11B	9230	RAB11B, member RAS oncogene family	ok
GNE	GNE	10020	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	ok
ARFRP1	ARFRP1	10139	ARF related protein 1	ok
ARF3	ARF3	377	ARF GTPase 3	ok
ARF4	ARF4	378	ARF GTPase 4	ok
ARF5	ARF5	381	ARF GTPase 5	ok
SRPRB	SRPRB	58477	SRP receptor subunit beta	ok
ARF6	ARF6	382	ARF GTPase 6	ok
GADD45B	GADD45B	4616	growth arrest and DNA damage inducible beta	ok
CYP4A11	CYP4A11	1579	cytochrome P450 family 4 subfamily A member 11	ok
CA9	CA9	768	carbonic anhydrase 9	ok
VPS39	VPS39	23339	VPS39 subunit of HOPS complex	ok
CYP46A1	CYP46A1	10858	cytochrome P450 family 46 subfamily A member 1	ok
CA8	CA8	767	carbonic anhydrase 8 (inactive)	ok
RRAGC	RRAGC	64121	Ras related GTP binding C	ok
PCSK5	PCSK5	5125	proprotein convertase subtilisin/kexin type 5	ok
NR2F1	NR2F1	7025	nuclear receptor subfamily 2 group F member 1	ok
IGSF22	IGSF22	283284	immunoglobulin superfamily member 22	ok
RRAGB	RRAGB	10325	Ras related GTP binding B	ok
FYN	FYN	2534	FYN proto-oncogene, Src family tyrosine kinase	ok
EEF2	EEF2	1938	eukaryotic translation elongation factor 2	ok
SNX31	SNX31	169166	sorting nexin 31	ok
MAST3	MAST3	23031	microtubule associated serine/threonine kinase 3	ok
ANKUB1	ANKUB1	389161	ankyrin repeat and ubiquitin domain containing 1	ok
IRAK2	IRAK2	3656	interleukin 1 receptor associated kinase 2	ok
IRS1	IRS1	3667	insulin receptor substrate 1	ok
RALGDS	RALGDS	5900	ral guanine nucleotide dissociation stimulator	ok
RASEF	RASEF	158158	RAS and EF-hand domain containing	ok
MPP1	KIF20B	9585	kinesin family member 20B	ok
MPP1	MPP1	4354	MAGUK p55 scaffold protein 1	ok
ISG20L2	ISG20L2	81875	interferon stimulated exonuclease gene 20 like 2	ok
ISG20	ISG20	3669	interferon stimulated exonuclease gene 20	ok
SNF8	SNF8	11267	SNF8 subunit of ESCRT-II	ok
RASD2	RASD2	23551	RASD family member 2	ok
RASD1	RASD1	51655	ras related dexamethasone induced 1	ok
C3	C3	718	complement C3	ok
REM1	REM1	28954	RRAD and GEM like GTPase 1	ok
CAMKK1	CAMKK1	84254	calcium/calmodulin dependent protein kinase kinase 1	ok
CA12	CA12	771	carbonic anhydrase 12	ok
CYP3A5	CYP3A5	1577	cytochrome P450 family 3 subfamily A member 5	ok
CDK1	CDK1	983	cyclin dependent kinase 1	ok
CDK10	CDK10	8558	cyclin dependent kinase 10	ok
RACGAP1	RACGAP1	29127	Rac GTPase activating protein 1	ok
CDK11A	CDK11A	728642	cyclin dependent kinase 11A	ok
OPCML	OPCML	4978	opioid binding protein/cell adhesion molecule like	ok
GAB3	GAB3	139716	GRB2 associated binding protein 3	ok
CDK11B	CDK11B	984	cyclin dependent kinase 11B	ok
UPRT	UPRT	139596	uracil phosphoribosyltransferase homolog	ok
CDK12	CDK12	51755	cyclin dependent kinase 12	ok
NMRAL1	NMRAL1	57407	NmrA like redox sensor 1	ok
RAB5B	RAB5B	5869	RAB5B, member RAS oncogene family	ok
PIP5K1A	PIP5K1A	8394	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha	ok
CDK3	CDK3	1018	cyclin dependent kinase 3	ok
ZSWIM7	ZSWIM7	125150	zinc finger SWIM-type containing 7	ok
MAP3K14	MAP3K14	9020	mitogen-activated protein kinase kinase kinase 14	ok
ANKK1	ANKK1	255239	ankyrin repeat and kinase domain containing 1	ok
RIPPLY1	RIPPLY1	92129	ripply transcriptional repressor 1	ok
NUAK1	NUAK1	9891	NUAK family kinase 1	ok
BABAM1	BABAM1	29086	BRISC and BRCA1 A complex member 1	ok
XPR1	XPR1	9213	xenotropic and polytropic retrovirus receptor 1	ok
KLF6	KLF6	1316	KLF transcription factor 6	ok
PKN3	PKN3	29941	protein kinase N3	ok
SLC52A1	SLC52A1	55065	solute carrier family 52 member 1	ok
WWP2	WWP2	11060	WW domain containing E3 ubiquitin protein ligase 2	ok
ANKFY1	ANKFY1	51479	ankyrin repeat and FYVE domain containing 1	ok
CYP4F2	CYP4F2	8529	cytochrome P450 family 4 subfamily F member 2	ok
HM13	HM13	81502	histocompatibility minor 13	ok
ECM2	ECM2	1842	extracellular matrix protein 2	ok
DCLK1	DCLK1	9201	doublecortin like kinase 1	ok
STAP2	STAP2	55620	signal transducing adaptor family member 2	ok
MAT2A	MAT2A	4144	methionine adenosyltransferase 2A	ok
ARL4C	ARL4C	10123	ARF like GTPase 4C	ok
ULBP3	ULBP3	79465	UL16 binding protein 3	ok
ULBP1	ULBP1	80329	UL16 binding protein 1	ok
STK33	STK33	65975	serine/threonine kinase 33	ok
MAP3K3	MAP3K3	4215	mitogen-activated protein kinase kinase kinase 3	ok
RAB4A	RAB4A	5867	RAB4A, member RAS oncogene family	ok
MAPK11	MAPK11	5600	mitogen-activated protein kinase 11	ok
MAPK12	MAPK12	6300	mitogen-activated protein kinase 12	ok
MARK1	MARK1	4139	microtubule affinity regulating kinase 1	ok
C17orf97	LIAT1	400566	ligand of ATE1	ok
MAPKAPK3	MAPKAPK3	7867	MAPK activated protein kinase 3	ok
MAPK9	MAPK9	5601	mitogen-activated protein kinase 9	ok
NT5C2	NT5C2	22978	5'-nucleotidase, cytosolic II	ok
WNK3	WNK3	65267	WNK lysine deficient protein kinase 3	ok
LAG3	LAG3	3902	lymphocyte activating 3	ok
MAPK8	MAPK8	5599	mitogen-activated protein kinase 8	ok
