compound_id,smiles,addiction_status,compound_name,parent_smiles,inchikey,butina_cluster_id,butina_cluster_type,bbb_MW,bbb_TPSA,bbb_HBD,bbb_HBA,bbb_RotB,bbb_clogP,bbb_rings,bbb_fr_ArRings,bbb_heuristic_score,bbb_permeable_heuristic,bbb_permeable_egg
NEW00796,COc1nc(C)nc(Cl)c1NC1=NCCN1,0,MOXONIDINE,COc1nc(C)nc(Cl)c1NC1=NCCN1,WPNJAUFVNXKLIM-UHFFFAOYSA-N,2051,non-addictive_only,241.68200000000002,71.43,2,6,2,0.8181199999999997,2,1,5,1,1
NEW00795,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,0,ROFECOXIB,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,RZJQGNCSTQAWON-UHFFFAOYSA-N,2052,non-addictive_only,314.3620000000001,60.44,0,4,3,2.5577000000000005,3,2,5,1,1
NEW00794,C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,0,CEFPROZIL ANHYDROUS (E)-,C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,WDLWHQDACQUCJR-ZAMMOSSLSA-N,2053,non-addictive_only,389.4330000000001,132.96,4,6,5,0.7067000000000008,3,1,3,1,0
NEW00792,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,0,NALTREXONE,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,DQCKKXVULJGBQN-XFWGSAIBSA-N,2055,non-addictive_only,341.4070000000001,70.0,2,5,2,1.5253999999999999,6,1,5,1,1
NEW00791,NCCS,0,CYSTEAMINE,NCCS,UFULAYFCSOUIOV-UHFFFAOYSA-N,2056,non-addictive_only,77.15199999999999,26.02,2,2,1,-0.12509999999999988,0,0,4,1,0
NEW00790,NCC(=O)CCC(=O)O,0,AMINOLEVULINIC ACID,NCC(=O)CCC(=O)O,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,2057,non-addictive_only,131.131,80.39,2,3,4,-0.6210000000000004,0,0,4,1,0
NEW00789,CC(=O)N[C@@H](CS)C(=O)O,0,ACETYLCYSTEINE,CC(=O)N[C@@H](CS)C(=O)O,PWKSKIMOESPYIA-BYPYZUCNSA-N,2058,non-addictive_only,163.198,66.4,3,3,3,-0.4945,0,0,3,1,0
NEW00788,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,0,MELOXICAM,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,ZRVUJXDFFKFLMG-UHFFFAOYSA-N,2059,non-addictive_only,351.4090000000001,99.59999999999998,2,6,2,1.95092,3,2,4,1,0
NEW00787,Cc1cccc(N2CC(CO)OC2=O)c1,0,TOLOXATONE,Cc1cccc(N2CC(CO)OC2=O)c1,MXUNKHLAEDCYJL-UHFFFAOYSA-N,2060,non-addictive_only,207.22899999999998,49.77,1,3,2,1.31252,2,1,5,1,1
NEW00786,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,0,PLERIXAFOR,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,YIQPUIGJQJDJOS-UHFFFAOYSA-N,2061,non-addictive_only,502.7960000000004,78.66,6,8,4,0.41580000000000644,3,1,3,1,1
