source,target,weight,interaction,addiction_status,compound_name
SPAG16,MEIG1,0.961,PPI,NA,NA
CD8B,CD8A,0.999,PPI,NA,NA
ATP6V0C,MRPS16,0.713,PPI,NA,NA
GPR132,MAP3K4,0.761,PPI,NA,NA
RXFP4,INSL3,0.906,PPI,NA,NA
RXFP3,INSL3,0.914,PPI,NA,NA
HOXD1,HOXB1,0.938,PPI,NA,NA
HOXD1,HOXA1,0.909,PPI,NA,NA
STAC2,CACNA1S,0.96,PPI,NA,NA
MAF,NEIL1,0.946,PPI,NA,NA
MAF,CREB1,0.893,PPI,NA,NA
RBMX,RBM3,0.774,PPI,NA,NA
RBMX,FASTKD2,0.731,PPI,NA,NA
MASTL,CDK1,0.87,PPI,NA,NA
MYO1D,ACTB,0.834,PPI,NA,NA
MYO1D,ACTG1,0.741,PPI,NA,NA
WRAP53,GNL3L,0.814,PPI,NA,NA
AATK,CDK5,0.756,PPI,NA,NA
NKX6-2,TLE3,0.758,PPI,NA,NA
NKX2-2,TLE3,0.975,PPI,NA,NA
CDK20,GTF2H3,0.828,PPI,NA,NA
ORAI3,TRPC1,0.901,PPI,NA,NA
ORAI3,TRPC6,0.823,PPI,NA,NA
PITPNM2,PTK2B,0.876,PPI,NA,NA
LARP1B,LARP1,0.753,PPI,NA,NA
RHOT1,PINK1,0.956,PPI,NA,NA
RHOT1,MYO19,0.896,PPI,NA,NA
RHOT1,SNPH,0.727,PPI,NA,NA
RHOT2,PINK1,0.972,PPI,NA,NA
RHOT2,MYO19,0.952,PPI,NA,NA
RHOT2,RAP1GDS1,0.827,PPI,NA,NA
RHOT2,RHOT1,0.812,PPI,NA,NA
NAP1L4,DGKZ,0.727,PPI,NA,NA
NAP1L5,NAP1L4,0.746,PPI,NA,NA
GPR4,MAP3K4,0.761,PPI,NA,NA
CLK2,CLK1,0.792,PPI,NA,NA
CLK4,CLK1,0.959,PPI,NA,NA
TLK2,TLK1,0.995,PPI,NA,NA
LRRC47,RIOK1,0.954,PPI,NA,NA
LRRC47,RPS19,0.846,PPI,NA,NA
TRDN,CACNA1S,0.771,PPI,NA,NA
TRDN,CACNA2D1,0.735,PPI,NA,NA
ENKUR,TRPC1,0.732,PPI,NA,NA
CERS5,CERS1,0.857,PPI,NA,NA
PDS5B,TOP2A,0.701,PPI,NA,NA
SNX33,SNX9,0.968,PPI,NA,NA
MADD,RAB27A,0.819,PPI,NA,NA
CTSF,BCL2L1,0.905,PPI,NA,NA
INTS6,PPP2R1A,0.999,PPI,NA,NA
INTS6,PPP2R1B,0.994,PPI,NA,NA
SH3PXD2B,CTTN,0.94,PPI,NA,NA
NR4A1,AKT1,0.956,PPI,NA,NA
NR4A1,AKT3,0.903,PPI,NA,NA
MEPCE,LARP7,0.999,PPI,NA,NA
MEPCE,CDK9,0.998,PPI,NA,NA
SGK1,KCNJ1,0.975,PPI,NA,NA
SGK1,SGK3,0.906,PPI,NA,NA
SGK1,CREB1,0.886,PPI,NA,NA
LARP1,PABPC4,0.752,PPI,NA,NA
FZD9,RYK,0.957,PPI,NA,NA
FZD9,ROR2,0.797,PPI,NA,NA
CNTN6,PTPRG,0.934,PPI,NA,NA
IBTK,BTK,0.95,PPI,NA,NA
SIX2,TLE3,0.7,PPI,NA,NA
STARD5,PCTP,0.94,PPI,NA,NA
TMEM43,JUP,0.913,PPI,NA,NA
CACNA2D1,CACNA1S,0.999,PPI,NA,NA
CACNA2D1,CACNA1A,0.951,PPI,NA,NA
CACNA2D1,CACNA2D2,0.741,PPI,NA,NA
CACNA2D1,KCNJ8,0.728,PPI,NA,NA
CACNA2D1,PRKACB,0.704,PPI,NA,NA
CACNA2D2,CACNA1A,0.982,PPI,NA,NA
STAC3,CACNA1S,0.973,PPI,NA,NA
STAC3,CACNA1A,0.799,PPI,NA,NA
STAC3,CACNA2D1,0.763,PPI,NA,NA
PEX11A,PPARA,0.904,PPI,NA,NA
PRDX3,PINK1,0.771,PPI,NA,NA
PRDX3,GLRX2,0.703,PPI,NA,NA
ZHX1,NFYC,0.718,PPI,NA,NA
COL14A1,COL6A2,0.799,PPI,NA,NA
COL14A1,COL12A1,0.772,PPI,NA,NA
COL14A1,COL6A1,0.768,PPI,NA,NA
COL14A1,COL3A1,0.701,PPI,NA,NA
MYO6,GIPC1,0.999,PPI,NA,NA
MYO6,MYO1A,0.923,PPI,NA,NA
