pathway_id,pathway_name,mean_E_drug,mean_E_comp,frac_tilt_edrug,frac_tilt_ecomp,n_drugs_addictive,n_drugs_nonaddictive,n_add_p,n_non_p,n_add_drugs,n_non_drugs,p_value_drug,p_value_comp,FDR_drug,FDR_comp
KEGG:hsa04961,Endocrine and other factor-regulated calcium reabsorption,0.8936708860759494,0.22772754671488848,0.9468354430379747,0.9468354430379747,183,212,7,3,183,212,1.2490588883713962e-05,1.5105241733683733e-10,2.4836986265162825e-05,5.812582419781479e-10
KEGG:hsa04962,Vasopressin-regulated water reabsorption,0.9021223470661673,0.28651685393258425,0.950561797752809,0.950561797752809,201,244,5,10,201,244,1.3003317407099757e-05,0.001943690938938737,2.5745073831872794e-05,0.002434550874766919
KEGG:hsa04971,Gastric acid secretion,0.6143920595533499,0.14752988946537332,0.7841191066997518,0.826302729528536,169,234,6,11,169,234,3.740174294077936e-18,8.811616883500905e-13,3.413218660423441e-17,4.822035570920847e-12
KEGG:hsa04972,Pancreatic secretion,0.10545977011494252,0.17760579937304075,0.521551724137931,0.5991379310344828,62,170,4,11,62,170,5.4789545072468675e-14,5.0722643116382424e-14,3.0199997243944733e-13,3.4096887872679295e-13
KEGG:hsa04973,Carbohydrate digestion and absorption,0.6044973544973545,0.23531746031746034,0.8293650793650794,0.8412698412698413,88,164,5,6,88,164,1.2823689134646752e-11,1.2313043881593827e-09,5.166971820919071e-11,4.07565495047285e-09
KEGG:hsa04974,Protein digestion and absorption,0.256882964453387,0.25399270623742454,0.6267605633802817,0.647887323943662,83,201,7,16,83,201,2.19578968611503e-13,5.140025975620844e-11,1.124832039950376e-12,2.1364459112408773e-10
KEGG:hsa04975,Fat digestion and absorption,0.4829596412556054,0.24775784753363228,0.7488789237668162,0.7488789237668162,74,149,4,4,74,149,7.758201063657772e-09,2.28046964606364e-08,2.2365692606109647e-08,6.31916398107711e-08
KEGG:hsa04976,Bile secretion,0.17508417508417506,0.08766233766233766,0.5858585858585859,0.5858585858585859,61,137,4,7,61,137,4.70700944464162e-13,5.621232149564439e-12,2.291964316154117e-12,2.7206763603891883e-11
KEGG:hsa04977,Vitamin digestion and absorption,0.5079365079365079,0.373015873015873,0.746031746031746,0.746031746031746,51,75,2,2,51,75,7.750892169258491e-07,8.910276778039369e-06,1.7712652419963849e-06,1.6586822925273288e-05
KEGG:hsa04978,Mineral absorption,0.6777163904235728,0.21685082872928177,0.7955801104972375,0.7900552486187845,64,117,4,2,64,117,1.5136431947828629e-05,1.2196994929572546e-07,2.9558422164306443e-05,3.0256326829850804e-07
KEGG:hsa05010,Alzheimer's disease,0.5198247004933051,0.18324335548172757,0.7587209302325582,0.7441860465116279,108,236,16,7,108,236,1.1752675643957268e-11,2.9696757517525894e-08,4.777341308959621e-11,7.9654603292083e-08
KEGG:hsa05012,Parkinson's disease,0.840983606557377,0.19262295081967212,0.9253187613843351,0.9234972677595629,232,317,12,6,232,317,1.7279460653007724e-11,0.00033347204695978043,6.881819878567816e-11,0.0004886660048257375
KEGG:hsa05014,Amyotrophic lateral sclerosis (ALS),0.4632478632478632,0.21504273504273505,0.7333333333333333,0.7333333333333333,60,135,5,6,60,135,1.0580870275298877e-07,9.860596779764845e-12,2.67041011709924e-07,4.668778214419094e-11
KEGG:hsa05016,Huntington's disease,0.7410619803476947,0.13252223966509682,0.8650793650793651,0.8650793650793651,191,313,13,7,191,313,1.963032724534287e-13,2.538425999538761e-06,1.0169395091760329e-12,5.128656611313007e-06
KEGG:hsa05030,Cocaine addiction,0.9164428164428164,0.1513395792241946,0.9658119658119658,0.9615384615384616,187,281,13,4,187,281,3.9248414400074875e-07,1.257581821224465e-10,9.373364825529147e-07,4.914292996478702e-10
KEGG:hsa05031,Amphetamine addiction,0.8706333042381922,0.13723954253485823,0.9429735234215886,0.9205702647657841,191,300,13,4,191,300,3.0274460477611657e-09,4.3097398277180515e-18,9.229691711979838e-09,4.940322813036798e-17
KEGG:hsa05032,Morphine addiction,0.8576972222768288,0.10828009200102223,0.9284436493738819,0.9284436493738819,265,294,28,15,265,294,1.7030381644394519e-09,8.124226863555074e-08,5.273677731679921e-09,2.0479821885211748e-07
KEGG:hsa05034,Alcoholism,0.7281041018700982,0.13529642204230868,0.8665447897623401,0.8665447897623401,187,360,20,7,187,360,1.226359311481717e-11,3.506799861039157e-13,4.970362150652371e-11,2.009950025616654e-12
