source,target,weight,interaction,addiction_status,compound_name
PITPNM2,PTK2B,0.876,PPI,,
LARP1B,LARP1,0.753,PPI,,
RHOT1,PINK1,0.956,PPI,,
RHOT1,MYO19,0.896,PPI,,
RHOT1,SNPH,0.727,PPI,,
RHOT2,PINK1,0.972,PPI,,
RHOT2,MYO19,0.952,PPI,,
RHOT2,RAP1GDS1,0.827,PPI,,
RHOT2,RHOT1,0.812,PPI,,
NAP1L4,DGKZ,0.727,PPI,,
NAP1L5,NAP1L4,0.746,PPI,,
GPR4,MAP3K4,0.761,PPI,,
CLK2,CLK1,0.792,PPI,,
CLK4,CLK1,0.959,PPI,,
TLK2,TLK1,0.995,PPI,,
LRRC47,RIOK1,0.954,PPI,,
LRRC47,RPS19,0.846,PPI,,
TRDN,CACNA1S,0.771,PPI,,
TRDN,CACNA2D1,0.735,PPI,,
ENKUR,TRPC1,0.732,PPI,,
CERS5,CERS1,0.857,PPI,,
PDS5B,TOP2A,0.701,PPI,,
SNX33,SNX9,0.968,PPI,,
MADD,RAB27A,0.819,PPI,,
CTSF,BCL2L1,0.905,PPI,,
INTS6,PPP2R1A,0.999,PPI,,
INTS6,PPP2R1B,0.994,PPI,,
SH3PXD2B,CTTN,0.94,PPI,,
NR4A1,AKT1,0.956,PPI,,
NR4A1,AKT3,0.903,PPI,,
MEPCE,LARP7,0.999,PPI,,
MEPCE,CDK9,0.998,PPI,,
SGK1,KCNJ1,0.975,PPI,,
SGK1,SGK3,0.906,PPI,,
SGK1,CREB1,0.886,PPI,,
LARP1,PABPC4,0.752,PPI,,
FZD9,RYK,0.957,PPI,,
FZD9,ROR2,0.797,PPI,,
CNTN6,PTPRG,0.934,PPI,,
IBTK,BTK,0.95,PPI,,
SIX2,TLE3,0.7,PPI,,
STARD5,PCTP,0.94,PPI,,
TMEM43,JUP,0.913,PPI,,
CACNA2D1,CACNA1S,0.999,PPI,,
CACNA2D1,CACNA1A,0.951,PPI,,
CACNA2D1,CACNA2D2,0.741,PPI,,
CACNA2D1,KCNJ8,0.728,PPI,,
CACNA2D1,PRKACB,0.704,PPI,,
CACNA2D2,CACNA1A,0.982,PPI,,
STAC3,CACNA1S,0.973,PPI,,
STAC3,CACNA1A,0.799,PPI,,
STAC3,CACNA2D1,0.763,PPI,,
PEX11A,PPARA,0.904,PPI,,
PRDX3,PINK1,0.771,PPI,,
PRDX3,GLRX2,0.703,PPI,,
ZHX1,NFYC,0.718,PPI,,
COL14A1,COL6A2,0.799,PPI,,
COL14A1,COL12A1,0.772,PPI,,
COL14A1,COL6A1,0.768,PPI,,
COL14A1,COL3A1,0.701,PPI,,
MYO6,GIPC1,0.999,PPI,,
MYO6,MYO1A,0.923,PPI,,
MYO6,MYO1C,0.916,PPI,,
MYO6,ACTG1,0.837,PPI,,
MYO6,MYL6B,0.834,PPI,,
MYO6,MYL6,0.814,PPI,,
MYO6,ACTB,0.772,PPI,,
MYO6,TMPRSS3,0.737,PPI,,
LMTK2,MYO6,0.751,PPI,,
STARD4,PCTP,0.94,PPI,,
HBS1L,RPS5,0.917,PPI,,
HBS1L,RPS19,0.894,PPI,,
HBS1L,RPL17,0.856,PPI,,
PABPC1,LARP4,0.992,PPI,,
PABPC1,PAN3,0.96,PPI,,
PABPC1,SMG7,0.945,PPI,,
PABPC1,LARP1,0.922,PPI,,
PABPC1,PABPC4,0.87,PPI,,
PABPC1,RPS19,0.816,PPI,,
PABPC1,RAE1,0.806,PPI,,
