compound_id,smiles,addiction_status,compound_name,parent_smiles,inchikey,butina_cluster_id,butina_cluster_type,bbb_MW,bbb_TPSA,bbb_HBD,bbb_HBA,bbb_RotB,bbb_clogP,bbb_rings,bbb_fr_ArRings,bbb_heuristic_score,bbb_permeable_heuristic,bbb_permeable_egg
NEW00105,C[C@@]1(CC[C@H]2[C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)O)CCN3C)O,1,Methyldihydromorphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@](C)(O)CC[C@H]3[C@H]1C5,NBKVWIJQJMEQLE-NGTWOADLSA-N,2599,addictive_only,301.386,52.93000000000001,2,4,0,1.8121999999999998,5,1,5,1,1
NEW00104,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(C)O,1,Methyldienolone (17α-methyl-17β-hydroxyestra-4 9(10) dien-3-one),C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3CC[C@@]21C,RDJBOAMEIJEKEY-XWSJACJDSA-N,2600,addictive_only,286.415,37.3,1,2,0,3.943400000000003,4,0,5,1,1
NEW00103,CC1=CC[C@H]2[C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)O)CCN3C,1,Methyldesorphine,CC1=CC[C@H]2[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3C)[C@H]1O5,CUFWYVOFDYVCPM-GGNLRSJOSA-N,2601,addictive_only,283.371,32.7,1,3,0,2.617400000000001,5,1,5,1,1
NEW00100,CCC#CC(C)C1(C(=O)NC(=O)N(C1=O)C)CC=C,1,Methohexital,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,NZXKDOXHBHYTKP-UHFFFAOYSA-N,2602,addictive_only,262.30899999999997,66.48,1,3,3,1.3066,1,0,5,1,1
NEW00099,CC(CC1=CC=CS1)NC,1,Methiopropamine (N-methyl-1-(thiophen-2-yl)propan-2 amine),CNC(C)Cc1cccs1,HPHUWHKFQXTZPS-UHFFFAOYSA-N,2603,addictive_only,155.26599999999996,12.03,1,2,3,1.8985,1,1,5,1,1
NEW00098,CC1=CC(=O)C[C@H]2[C@]1([C@H]3CC[C@]4([C@H]([C@@H]3CC2)CC[C@@H]4O)C)C,1,Methenolone (1-methyl-17β-hydroxy-5α-androst-1-en-3 one),CC1=CC(=O)C[C@@H]2CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@@]12C,ANJQEDFWRSLVBR-VHUDCFPWSA-N,2604,addictive_only,302.4580000000001,37.3,1,2,0,4.125200000000004,4,0,5,1,1
NEW00097,CC(C(=O)C1=CC=CC=C1)NC,1,Methcathinone,CNC(C)C(=O)c1ccccc1,LPLLVINFLBSFRP-UHFFFAOYSA-N,2605,addictive_only,163.22,29.1,1,2,3,1.4771999999999996,1,1,5,1,1
NEW00095,CC1=CC=CC=C1N2C(=NC3=CC=CC=C3C2=O)C,1,Methaqualone,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,JEYCTXHKTXCGPB-UHFFFAOYSA-N,2606,addictive_only,250.30100000000002,34.89,0,3,1,3.0025400000000015,3,3,5,1,1
NEW00094,C[C@]12CC[C@@H](CC1=CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C)O,1,Methandriol (17α-methyl-3β 17β-dihydroxyandrost-5 ene),C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,WRWBCPJQPDHXTJ-DTMQFJJTSA-N,2607,addictive_only,304.47400000000005,40.46,2,2,0,4.061100000000004,4,0,5,1,1
NEW00093,O=C\1\C=C/[C@]4(/C(=C/1)CC[C@@H]3[C@@H]4CC[C@]2([C@H]3CC[C@@]2(O)C)C)C,1,Methandienone (17α-methyl-17β-hydroxyandrost-1 4 dien-3-one),C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,XWALNWXLMVGSFR-HLXURNFRSA-N,2608,addictive_only,300.442,37.3,1,2,0,4.045300000000004,4,0,5,1,1
